minimum_nights,number_of_reviews,reviews_per_month,availability_365,price
31,6,0.27,326,287
3,32,3.12,78,172
4,1,0.04,0,47
5,55,2.02,0,89
7,3,0.12,43,160
30,0,1.3732214298586618,305,48
2,3,0.05,364,205
2,1,0.02,0,300
10,0,1.3732214298586618,0,115
5,1,0.01,365,700
3,2,0.04,0,130
3,7,1.39,131,42
3,51,0.79,276,80
10,0,1.3732214298586618,0,78
30,1,0.07,111,100
7,0,1.3732214298586618,0,120
2,18,1.61,5,55
2,37,3.84,229,225
5,0,1.3732214298586618,43,100
30,1,0.19,218,244
26,58,0.73,129,75
1,143,3.96,282,99
3,1,0.49,59,70
4,11,0.14,259,200
3,107,2.16,99,150
1,49,0.66,24,89
2,12,0.71,363,225
1,4,0.2,0,120
7,12,0.42,3,150
4,13,0.36,0,105
1,3,0.07,0,250
3,63,1.02,323,275
1,0,1.3732214298586618,0,100
1,0,1.3732214298586618,0,100
5,46,2.63,228,200
3,25,0.29,0,160
2,12,2.67,3,90
365,4,1.9,305,120
4,24,0.38,157,200
5,17,1.36,119,45
30,0,1.3732214298586618,270,999
2,0,1.3732214298586618,280,125
3,1,0.07,0,60
2,15,2.53,20,120
1,0,1.3732214298586618,66,41
30,0,1.3732214298586618,364,285
4,1,0.45,365,30
1,0,1.3732214298586618,0,125
14,18,0.35,128,70
3,0,1.3732214298586618,294,300
1,17,1.64,67,85
3,0,1.3732214298586618,11,349
2,3,0.13,364,125
30,0,1.3732214298586618,310,300
3,49,1.98,216,99
2,1,0.38,9,250
7,3,0.29,348,75
30,3,0.13,213,100
2,103,3.52,73,75
8,6,0.25,0,95
2,7,4.04,104,65
3,76,1.78,281,110
3,12,0.19,0,158
7,35,0.61,326,99
3,68,2.47,299,110
1,63,2.81,356,120
1,0,1.3732214298586618,364,150
1,2,0.16,0,175
2,206,1.92,0,65
2,0,1.3732214298586618,357,100
9,2,0.28,12,198
5,26,0.93,325,59
1,3,0.06,0,90
1,12,7.66,287,100
1,183,5.17,1,100
2,13,3.42,65,50
2,33,3.21,47,48
1,1,0.03,0,60
1,0,1.3732214298586618,360,159
30,0,1.3732214298586618,365,155
2,113,0.91,333,85
1,2,0.1,0,75
2,1,0.02,0,78
5,0,1.3732214298586618,0,225
3,2,0.76,2,180
1,4,0.1,0,50
30,0,1.3732214298586618,156,481
2,200,3.92,202,70
3,1,0.14,90,180
20,3,0.39,35,65
1,134,4.96,176,99
1,6,0.66,0,75
2,6,0.4,1,260
12,27,1.19,13,114
3,1,1.0,94,60
1,1,0.02,0,100
1,5,3.85,337,36
6,1,0.02,0,230
2,1,0.02,0,250
2,10,0.54,0,175
20,7,0.27,342,59
1,1,0.45,299,100
3,2,0.19,0,39
2,5,0.27,0,55
30,0,1.3732214298586618,317,136
3,2,0.97,282,90
2,39,1.14,19,200
5,5,0.11,0,140
7,1,0.1,45,125
2,8,2.76,52,50
30,0,1.3732214298586618,200,170
1,7,0.7,234,153
3,9,0.87,68,135
1,1,1.0,125,86
1,10,0.14,0,95
5,1,0.13,250,40
4,4,2.03,65,325
1,31,7.69,94,68
1,23,1.42,14,150
1,68,4.55,299,90
1,32,2.02,5,90
4,4,0.09,0,239
1,4,2.03,365,100
1,1,0.02,0,75
1,20,2.83,67,115
1,41,2.48,145,30
2,1,0.91,89,69
7,9,0.71,144,65
29,0,1.3732214298586618,342,165
4,17,0.85,9,107
2,1,0.05,0,150
30,0,1.3732214298586618,348,225
1,34,3.07,133,172
2,137,3.14,317,199
30,0,1.3732214298586618,0,154
2,0,1.3732214298586618,356,375
5,6,1.22,0,117
1,0,1.3732214298586618,0,123
